player_id,player_name,team_id,team_name
16900,Achref Abada,490,Algeria
15396,Adil Boulbina,490,Algeria
16901,Ahmed Nadhir Benbouali,490,Algeria
4540,Amine Gouiri,490,Algeria
3368,Anis Hadj Moussa,490,Algeria
1448,Aïssa Mandi,490,Algeria
1351,Farès Chaïbi,490,Algeria
16902,Farès Ghedjemis,490,Algeria
1504,Hicham Boudaoui,490,Algeria
8230,Houssem Aouar,490,Algeria
2140,Ibrahim Maza,490,Algeria
3202,Jaouen Hadjam,490,Algeria
15394,Luca Zidane,490,Algeria
16899,Melvin Mastil,490,Algeria
1376,Mohamed Amoura,490,Algeria
14698,Mohamed Tougai,490,Algeria
1460,Nabil Bentaleb,490,Algeria
15398,Oussama Benbot,490,Algeria
2616,Rafik Belghali,490,Algeria
5260,Ramiz Zerrouki,490,Algeria
2169,Ramy Bensebaini,490,Algeria
861,Rayan Aït-Nouri,490,Algeria
8116,Riyad Mahrez,490,Algeria
3823,Samir Sophian Chergui,490,Algeria
1423,Yacine Titraoui,490,Algeria
15046,Zineddine Belaid,490,Algeria
3622,Agustín Giay,489,Argentina
3448,Alan Varela,489,Argentina
396,Alejandro Garnacho,489,Argentina
328,Alexis Mac Allister,489,Argentina
3623,Aníbal Moreno,489,Argentina
2147,Claudio Echeverri,489,Argentina
720,Cristian Romero,489,Argentina
517,Emiliano Buendía,489,Argentina
1629,Emiliano Martínez,489,Argentina
387,Enzo Fernández,489,Argentina
4750,Exequiel Palacios,489,Argentina
4345,Ezequiel Fernández,489,Argentina
22726,Facundo Cambeses,489,Argentina
4603,Facundo Medina,489,Argentina
604,Franco Mastantuono,489,Argentina
16870,Gabriel Rojas,489,Argentina
23012,Germán Pezzella,489,Argentina
1922,Gerónimo Rulli,489,Argentina
2062,Gianluca Prestianni,489,Argentina
3850,Giovani Lo Celso,489,Argentina
767,Giuliano Simeone,489,Argentina
23014,Gonzalo Montiel,489,Argentina
1652,Guido Rodríguez,489,Argentina
34,José Manuel López,489,Argentina
777,Juan Musso,489,Argentina
770,Julián Alvarez,489,Argentina
3745,Kevin Mac Allister,489,Argentina
22023,Lautaro Di Lollo,489,Argentina
1687,Lautaro Martínez,489,Argentina
16872,Leandro Paredes,489,Argentina
1934,Leonardo Balerdi,489,Argentina
9063,Lionel Messi,489,Argentina
1800,Lisandro Martínez,489,Argentina
16871,Lucas Martínez Quarta,489,Argentina
16869,Marcos Acuña,489,Argentina
2370,Marcos Senesi,489,Argentina
2546,Mateo Pellegrino,489,Argentina
1066,Matías Soulé,489,Argentina
22011,Milton Delgado,489,Argentina
2826,Máximo Perrone,489,Argentina
761,Nahuel Molina,489,Argentina
2829,Nico Paz,489,Argentina
1590,Nicolás Capaldo,489,Argentina
555,Nicolás Domínguez,489,Argentina
768,Nicolás González,489,Argentina
2054,Nicolás Otamendi,489,Argentina
1107,Nicolás Tagliafico,489,Argentina
9057,Rodrigo De Paul,489,Argentina
23005,Santiago Beltrán,489,Argentina
956,Santiago Castro,489,Argentina
773,Thiago Almada,489,Argentina
22017,Tomás Aranda,489,Argentina
3896,Valentín Barco,489,Argentina
438,Walter Benítez,489,Argentina
3548,Zaid Romero,489,Argentina
9142,Aiden O'Neill,459,Australia
5369,Ajdin Hrustić,459,Australia
4264,Alessandro Circati,459,Australia
30428,Awer Mabil,459,Australia
55294,Aziz Behich,459,Australia
6525,Cameron Burgess,459,Australia
5770,Cameron Devlin,459,Australia
2490,Connor Metcalfe,459,Australia
2854,Cristian Volpato,459,Australia
23925,Harry Souttar,459,Australia
2484,Jackson Irvine,459,Australia
30894,Jacob Italiano,459,Australia
42887,Jason Geria,459,Australia
4396,Jordan Bos,459,Australia
12181,Kai Trewin,459,Australia
12179,Lucas Herrington,459,Australia
57496,Mathew Leckie,459,Australia
2111,Mathew Ryan,459,Australia
26604,Miloš Degenek,459,Australia
8991,Mohamed Touré,459,Australia
6040,Nestory Irankunda,459,Australia
55793,Nishan Velupillay,459,Australia
58824,Patrick Beach,459,Australia
28992,Paul Izzo,459,Australia
58823,Paul Okon-Engstler,459,Australia
5936,Tete Yengi,459,Australia
12758,Alessandro Schöpf,483,Austria
2390,Alexander Prass,483,Austria
3034,Alexander Schlager,483,Austria
2170,Carney Chukwuemeka,483,Austria
2894,Christoph Baumgartner,483,Austria
2761,David Affengruber,483,Austria
4020,David Alaba,483,Austria
888,Florian Grillitsch,483,Austria
3218,Florian Wiegele,483,Austria
721,Kevin Danso,483,Austria
2457,Konrad Laimer,483,Austria
2161,Marcel Sabitzer,483,Austria
2500,Marco Friedl,483,Austria
3065,Marko Arnautović,483,Austria
8530,Michael Gregoritsch,483,Austria
16694,Michael Svoboda,483,Austria
2893,Nicolas Seiwald,483,Austria
16695,Patrick Pentz,483,Austria
1375,Patrick Wimmer,483,Austria
3522,Paul Wanner,483,Austria
1174,Philipp Lienhart,483,Austria
1198,Phillipp Mwene,483,Austria
2504,Romano Schmid,483,Austria
4824,Saša Kalajdžić,483,Austria
2832,Stefan Posch,483,Austria
2892,Xaver Schlager,483,Austria
1991,Alexis Saelemaekers,477,Belgium
508,Amadou Onana,477,Belgium
1349,Arthur Theate,477,Belgium
1042,Axel Witsel,477,Belgium
3537,Brandon Mechele,477,Belgium
1305,Charles De Ketelaere,477,Belgium
1713,Diego Moreira,477,Belgium
3974,Dodi Lukebakio,477,Belgium
3542,Hans Vanaken,477,Belgium
3538,Joaquin Seys,477,Belgium
853,Jérémy Doku,477,Belgium
4374,Kevin De Bruyne,477,Belgium
2004,Koni De Winter,477,Belgium
3461,Leandro Trossard,477,Belgium
1464,Matías Fernández-Pardo,477,Belgium
491,Maxim De Cuyper,477,Belgium
1701,Mike Penders,477,Belgium
1447,Nathan Ngoy,477,Belgium
3015,Nicolas Raskin,477,Belgium
8676,Romelu Lukaku,477,Belgium
1788,Senne Lammens,477,Belgium
585,Thibaut Courtois,477,Belgium
1446,Thomas Meunier,477,Belgium
834,Timothy Castagne,477,Belgium
514,Youri Tielemans,477,Belgium
4434,Zeno Debast,477,Belgium
2052,Amar Dedić,931,Bosnia & Herzegovina
